product_average_rating,product_reviews_count,product_url,product_orignal_price,product_sale_price,product_discount,product_image,product_brand,product_name,product_brand_id,product_sku,seller_name,seller_percentage,seller_rate,seller_rate_level,seller_seller_id,seller_shipment_time,seller_url
5.0,1,https://www.daraz.pk/products/-i220838098-s1434780195.html?search=1,899,525,-42%,https://static-01.daraz.pk/p/3ceb84a2b6b66cbd8d4bacc83c42b2bb.jpg,No Brand,Fancy Black T Shirt best Collection,39704,220838098,A.S Fashions,84%,0.84,3,6005010030128,100%,//www.daraz.pk/shop/as-fashions1592302092/?itemId=220838098&channelSource=pdp
4.8,5,https://www.daraz.pk/products/rl-polo-collar-design-full-sleeve-t-shirt-i389339287-s1913541331.html?search=1,799,718,-10%,https://pk-live-21.slatic.net/kf/Sf9defe55a5fe49d18c486d67d12eb7d5F.jpg,No Brand,RL Polo Collar Design Full Sleeve T-shirt,39704,389339287,H&H Apparel,100%,1,3,6005043084162,100%,//www.daraz.pk/shop/l7pmmx2t/?itemId=389339287&channelSource=pdp
4.8,38,https://www.daraz.pk/products/3-i360169170-s1819371120.html?search=1,1400.0,1294.0,-8%,https://static-01.daraz.pk/p/8e8cfb0fb948aa1533a01e68da0fb236.jpg,Clofits,Pack of 3 Plain T-shirt - Mens T-shirt - Full Sleeves T-shirts - Plain Tshirts - Round Neck T shirts - Crew Neck T shirt - Cotton T-shirt - Mens Tshirts For Summer - High quality T shirts for men - Summer T shirts - Mens T shirt by Clofit,124540409,360169170,Clofits,94%,0.94,3,6005031507658,100%,//www.daraz.pk/shop/clofits/?itemId=360169170&channelSource=pdp
4.0,1,https://www.daraz.pk/products/-i239961649-s1459308670.html?search=1,1299,799,-38%,https://static-01.daraz.pk/p/b8be5b2f879929f5f167d93eb0ad995a.jpg,No Brand,Captain America Logo Print Full Sleeves Black Tshirt Summer And Winter Gym Wear Cotton Full Bazu Fashion Tees Export Quality T shirts For Men,39704,239961649,Trendz Fashion (Karachi),86%,0.86,3,6005012841250,100%,//www.daraz.pk/shop/trendz-fashion-karachi/?itemId=239961649&channelSource=pdp
3.0,2,https://www.daraz.pk/products/-i227463300-s1447320907.html?search=1,1999,1390,-30%,https://static-01.daraz.pk/p/b3472ad5f7dc7c00970d0ac439ab1cb9.jpg,No Brand,Money Heist Mask Printed T shirt And Trouser New Design Track Suit Full sleeves T shirts Jogging Trousers Best Quality Top Tees For Men,39704,227463300,Shez Fashion,87%,0.87,3,1035490,100%,//www.daraz.pk/shop/shez-fashion/?itemId=227463300&channelSource=pdp
4.6,374,https://www.daraz.pk/products/aaaaaaaa-aaaaaaaa-4-aaaa-aaaaaa-aaaaaaaaaaaa-aaaaaaaa-aaaaaaaa-aaaaaaaaaa-aaaaaaaa-aaaa-aaaaaa-aaaaaaaaaa-aaaa-aaaaaa-i169110292-s1338710792.html?search=1,1500,1199,-20%,https://static-01.daraz.pk/p/123f735148fd43703d8aa88a2179e204.jpg,The Vintage,The Vintage Clothing Pack of 4 premium plain half sleeves T shirt for men,289138,169110292,The Vintage Clothing,88%,0.88,3,1128650,99%,//www.daraz.pk/shop/vintage-apparels/?itemId=169110292&channelSource=pdp
4.3,5,https://www.daraz.pk/products/-i208556220-s1598047500.html?search=1,1299.0,939.0,-28%,https://static-01.daraz.pk/p/4f219120a713c3e5711dc7bdf25fb5fc.jpg,No Brand,Bring Summer T-Shirt Printed Cotton Jersey Double Strip tshirt & Short Track Suit Casual Wear Gym Cotton Summer Shorts for_Men,39704,208556220,Royal.Store.PK,89%,0.89,3,1145329,100%,//www.daraz.pk/shop/royalstorepk-1578328098/?itemId=208556220&channelSource=pdp
0.0,0,https://www.daraz.pk/products/yellow-markhor-printed-summer-cotton-half-sleeves-o-neck-trouser-tshirt-for-men-boys-i401632928-s1938522967.html?search=1,1999,1199,-40%,https://static-01.daraz.pk/p/f786d5dfa3397bd8621ec06570da7353.jpg,No Brand,Yellow Markhor Printed Summer Cotton Half Sleeves O Neck Trouser & Tshirt For Men & Boys,39704,401632928,Leather freaks,83%,0.83,3,1093117,73%,//www.daraz.pk/shop/leather-freaks/?itemId=401632928&channelSource=pdp
5.0,2,https://www.daraz.pk/products/new-shirts-new-design-comfortable-and-good-quality-i398924267-s1929142691.html?search=1,650.0,396.0,-39%,https://static-01.daraz.pk/p/72cab4b35459fed4ac4a0944bbab0e46.jpg,No Brand,New Shirts New Design Comfortable and Good Quality,39704,398924267,JZgxmFRC,91%,0.91,3,6005032557528,100%,//www.daraz.pk/shop/jzgxmfrc/?itemId=398924267&channelSource=pdp
0.0,0,https://www.daraz.pk/products/-i396269118-s1921462747.html?search=1,599,399,-33%,https://static-01.daraz.pk/p/a8801da6d4df54b5df25f7f690acc259.jpg,No Brand,trendy black t shirt with the boos printed for men,39704,396269118,Athleisure clothing,100%,1,3,6005042943308,100%,//www.daraz.pk/shop/onnpqtq8/?itemId=396269118&channelSource=pdp
